id|gloss|text
P01_S001_R01|AKU CIUM BADAN DIA|Saya mencium bau badan dia
P02_S001_R01|AKU CIUM BADAN DIA|Saya mencium bau badan dia
P03_S001_R01|AKU CIUM BADAN DIA|Saya mencium bau badan dia
P04_S001_R01|AKU CIUM BADAN DIA|Saya mencium bau badan dia
P05_S001_R01|AKU CIUM BADAN DIA|Saya mencium bau badan dia
P01_S001_R02|AKU CIUM BADAN DIA|Saya mencium bau badan dia
P02_S001_R02|AKU CIUM BADAN DIA|Saya mencium bau badan dia
P03_S001_R02|AKU CIUM BADAN DIA|Saya mencium bau badan dia
P04_S001_R02|AKU CIUM BADAN DIA|Saya mencium bau badan dia
P05_S001_R02|AKU CIUM BADAN DIA|Saya mencium bau badan dia
P01_S001_R03|AKU CIUM BADAN DIA|Saya mencium bau badan dia
P02_S001_R03|AKU CIUM BADAN DIA|Saya mencium bau badan dia
P03_S001_R03|AKU CIUM BADAN DIA|Saya mencium bau badan dia
P04_S001_R03|AKU CIUM BADAN DIA|Saya mencium bau badan dia
P05_S001_R03|AKU CIUM BADAN DIA|Saya mencium bau badan dia
P01_S002_R01|AKU LIHAT ADA ULAR MASUK KELAS|Saya melihat ada ular masuk kelas
P02_S002_R01|AKU LIHAT ADA ULAR MASUK KELAS|Saya melihat ada ular masuk kelas
P03_S002_R01|AKU LIHAT ADA ULAR MASUK KELAS|Saya melihat ada ular masuk kelas
P04_S002_R01|AKU LIHAT ADA ULAR MASUK KELAS|Saya melihat ada ular masuk kelas
P05_S002_R01|AKU LIHAT ADA ULAR MASUK KELAS|Saya melihat ada ular masuk kelas
P01_S002_R02|AKU LIHAT ADA ULAR MASUK KELAS|Saya melihat ada ular masuk kelas
P02_S002_R02|AKU LIHAT ADA ULAR MASUK KELAS|Saya melihat ada ular masuk kelas
P03_S002_R02|AKU LIHAT ADA ULAR MASUK KELAS|Saya melihat ada ular masuk kelas
P04_S002_R02|AKU LIHAT ADA ULAR MASUK KELAS|Saya melihat ada ular masuk kelas
P05_S002_R02|AKU LIHAT ADA ULAR MASUK KELAS|Saya melihat ada ular masuk kelas
P01_S002_R03|AKU LIHAT ADA ULAR MASUK KELAS|Saya melihat ada ular masuk kelas
P02_S002_R03|AKU LIHAT ADA ULAR MASUK KELAS|Saya melihat ada ular masuk kelas
P03_S002_R03|AKU LIHAT ADA ULAR MASUK KELAS|Saya melihat ada ular masuk kelas
P04_S002_R03|AKU LIHAT ADA ULAR MASUK KELAS|Saya melihat ada ular masuk kelas
P05_S002_R03|AKU LIHAT ADA ULAR MASUK KELAS|Saya melihat ada ular masuk kelas
P01_S003_R01|AKU NILAI JELEK|Nilai ku jelek
P02_S003_R01|AKU NILAI JELEK|Nilai ku jelek
P03_S003_R01|AKU NILAI JELEK|Nilai ku jelek
P04_S003_R01|AKU NILAI JELEK|Nilai ku jelek
P05_S003_R01|AKU NILAI JELEK|Nilai ku jelek
P01_S003_R02|AKU NILAI JELEK|Nilai ku jelek
P02_S003_R02|AKU NILAI JELEK|Nilai ku jelek
P03_S003_R02|AKU NILAI JELEK|Nilai ku jelek
P04_S003_R02|AKU NILAI JELEK|Nilai ku jelek
P05_S003_R02|AKU NILAI JELEK|Nilai ku jelek
P01_S003_R03|AKU NILAI JELEK|Nilai ku jelek
P02_S003_R03|AKU NILAI JELEK|Nilai ku jelek
P03_S003_R03|AKU NILAI JELEK|Nilai ku jelek
P04_S003_R03|AKU NILAI JELEK|Nilai ku jelek
P05_S003_R03|AKU NILAI JELEK|Nilai ku jelek
P01_S004_R01|AKU PUSING AKU HARUS PERIKSA MANA|Saya sering pusing, saya harus periksa ke mana?
P02_S004_R01|AKU PUSING AKU HARUS PERIKSA MANA|Saya sering pusing, saya harus periksa ke mana?
P03_S004_R01|AKU PUSING AKU HARUS PERIKSA MANA|Saya sering pusing, saya harus periksa ke mana?
P04_S004_R01|AKU PUSING AKU HARUS PERIKSA MANA|Saya sering pusing, saya harus periksa ke mana?
P05_S004_R01|AKU PUSING AKU HARUS PERIKSA MANA|Saya sering pusing, saya harus periksa ke mana?
P01_S004_R02|AKU PUSING AKU HARUS PERIKSA MANA|Saya sering pusing, saya harus periksa ke mana?
P02_S004_R02|AKU PUSING AKU HARUS PERIKSA MANA|Saya sering pusing, saya harus periksa ke mana?
P03_S004_R02|AKU PUSING AKU HARUS PERIKSA MANA|Saya sering pusing, saya harus periksa ke mana?
P04_S004_R02|AKU PUSING AKU HARUS PERIKSA MANA|Saya sering pusing, saya harus periksa ke mana?
P05_S004_R02|AKU PUSING AKU HARUS PERIKSA MANA|Saya sering pusing, saya harus periksa ke mana?
P01_S004_R03|AKU PUSING AKU HARUS PERIKSA MANA|Saya sering pusing, saya harus periksa ke mana?
P02_S004_R03|AKU PUSING AKU HARUS PERIKSA MANA|Saya sering pusing, saya harus periksa ke mana?
P03_S004_R03|AKU PUSING AKU HARUS PERIKSA MANA|Saya sering pusing, saya harus periksa ke mana?
P04_S004_R03|AKU PUSING AKU HARUS PERIKSA MANA|Saya sering pusing, saya harus periksa ke mana?
P05_S004_R03|AKU PUSING AKU HARUS PERIKSA MANA|Saya sering pusing, saya harus periksa ke mana?
P01_S005_R01|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS|Apa kamu pernah membaca novel bahasa inggris?
P02_S005_R01|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS|Apa kamu pernah membaca novel bahasa inggris?
P03_S005_R01|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS|Apa kamu pernah membaca novel bahasa inggris?
P04_S005_R01|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS|Apa kamu pernah membaca novel bahasa inggris?
P05_S005_R01|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS|Apa kamu pernah membaca novel bahasa inggris?
P01_S005_R02|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS|Apa kamu pernah membaca novel bahasa inggris?
P02_S005_R02|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS|Apa kamu pernah membaca novel bahasa inggris?
P03_S005_R02|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS|Apa kamu pernah membaca novel bahasa inggris?
P04_S005_R02|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS|Apa kamu pernah membaca novel bahasa inggris?
P05_S005_R02|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS|Apa kamu pernah membaca novel bahasa inggris?
P01_S005_R03|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS|Apa kamu pernah membaca novel bahasa inggris?
P02_S005_R03|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS|Apa kamu pernah membaca novel bahasa inggris?
P03_S005_R03|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS|Apa kamu pernah membaca novel bahasa inggris?
P04_S005_R03|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS|Apa kamu pernah membaca novel bahasa inggris?
P05_S005_R03|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS|Apa kamu pernah membaca novel bahasa inggris?
P01_S006_R01|AYAH SAMA IBU MANA|Di mana ayah sama Ibu?
P02_S006_R01|AYAH SAMA IBU MANA|Di mana ayah sama Ibu?
P03_S006_R01|AYAH SAMA IBU MANA|Di mana ayah sama Ibu?
P04_S006_R01|AYAH SAMA IBU MANA|Di mana ayah sama Ibu?
P05_S006_R01|AYAH SAMA IBU MANA|Di mana ayah sama Ibu?
P01_S006_R02|AYAH SAMA IBU MANA|Di mana ayah sama Ibu?
P02_S006_R02|AYAH SAMA IBU MANA|Di mana ayah sama Ibu?
P03_S006_R02|AYAH SAMA IBU MANA|Di mana ayah sama Ibu?
P04_S006_R02|AYAH SAMA IBU MANA|Di mana ayah sama Ibu?
P05_S006_R02|AYAH SAMA IBU MANA|Di mana ayah sama Ibu?
P01_S006_R03|AYAH SAMA IBU MANA|Di mana ayah sama Ibu?
P02_S006_R03|AYAH SAMA IBU MANA|Di mana ayah sama Ibu?
P03_S006_R03|AYAH SAMA IBU MANA|Di mana ayah sama Ibu?
P04_S006_R03|AYAH SAMA IBU MANA|Di mana ayah sama Ibu?
P05_S006_R03|AYAH SAMA IBU MANA|Di mana ayah sama Ibu?
P01_S007_R01|BADAN AKU GEMUK TAPI BADAN ADIK KURUS|Badan ku gemuk, tapi badan adik kurus
P02_S007_R01|BADAN AKU GEMUK TAPI BADAN ADIK KURUS|Badan ku gemuk, tapi badan adik kurus
P03_S007_R01|BADAN AKU GEMUK TAPI BADAN ADIK KURUS|Badan ku gemuk, tapi badan adik kurus
P04_S007_R01|BADAN AKU GEMUK TAPI BADAN ADIK KURUS|Badan ku gemuk, tapi badan adik kurus
P05_S007_R01|BADAN AKU GEMUK TAPI BADAN ADIK KURUS|Badan ku gemuk, tapi badan adik kurus
P01_S007_R02|BADAN AKU GEMUK TAPI BADAN ADIK KURUS|Badan ku gemuk, tapi badan adik kurus
P02_S007_R02|BADAN AKU GEMUK TAPI BADAN ADIK KURUS|Badan ku gemuk, tapi badan adik kurus
P03_S007_R02|BADAN AKU GEMUK TAPI BADAN ADIK KURUS|Badan ku gemuk, tapi badan adik kurus
P04_S007_R02|BADAN AKU GEMUK TAPI BADAN ADIK KURUS|Badan ku gemuk, tapi badan adik kurus
P05_S007_R02|BADAN AKU GEMUK TAPI BADAN ADIK KURUS|Badan ku gemuk, tapi badan adik kurus
P01_S007_R03|BADAN AKU GEMUK TAPI BADAN ADIK KURUS|Badan ku gemuk, tapi badan adik kurus
P02_S007_R03|BADAN AKU GEMUK TAPI BADAN ADIK KURUS|Badan ku gemuk, tapi badan adik kurus
P03_S007_R03|BADAN AKU GEMUK TAPI BADAN ADIK KURUS|Badan ku gemuk, tapi badan adik kurus
P04_S007_R03|BADAN AKU GEMUK TAPI BADAN ADIK KURUS|Badan ku gemuk, tapi badan adik kurus
P05_S007_R03|BADAN AKU GEMUK TAPI BADAN ADIK KURUS|Badan ku gemuk, tapi badan adik kurus
P01_S008_R01|BUKU AKU SOBEK GEGARA DIA|Dia menyobek buku saya
P02_S008_R01|BUKU AKU SOBEK GEGARA DIA|Dia menyobek buku saya
P03_S008_R01|BUKU AKU SOBEK GEGARA DIA|Dia menyobek buku saya
P04_S008_R01|BUKU AKU SOBEK GEGARA DIA|Dia menyobek buku saya
P05_S008_R01|BUKU AKU SOBEK GEGARA DIA|Dia menyobek buku saya
P01_S008_R02|BUKU AKU SOBEK GEGARA DIA|Dia menyobek buku saya
P02_S008_R02|BUKU AKU SOBEK GEGARA DIA|Dia menyobek buku saya
P03_S008_R02|BUKU AKU SOBEK GEGARA DIA|Dia menyobek buku saya
P04_S008_R02|BUKU AKU SOBEK GEGARA DIA|Dia menyobek buku saya
P05_S008_R02|BUKU AKU SOBEK GEGARA DIA|Dia menyobek buku saya
P01_S008_R03|BUKU AKU SOBEK GEGARA DIA|Dia menyobek buku saya
P02_S008_R03|BUKU AKU SOBEK GEGARA DIA|Dia menyobek buku saya
P03_S008_R03|BUKU AKU SOBEK GEGARA DIA|Dia menyobek buku saya
P04_S008_R03|BUKU AKU SOBEK GEGARA DIA|Dia menyobek buku saya
P05_S008_R03|BUKU AKU SOBEK GEGARA DIA|Dia menyobek buku saya
P01_S009_R01|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA|Dia anak baik sehingga banyak orang menyukainya
P02_S009_R01|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA|Dia anak baik sehingga banyak orang menyukainya
P03_S009_R01|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA|Dia anak baik sehingga banyak orang menyukainya
P04_S009_R01|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA|Dia anak baik sehingga banyak orang menyukainya
P05_S009_R01|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA|Dia anak baik sehingga banyak orang menyukainya
P01_S009_R02|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA|Dia anak baik sehingga banyak orang menyukainya
P02_S009_R02|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA|Dia anak baik sehingga banyak orang menyukainya
P03_S009_R02|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA|Dia anak baik sehingga banyak orang menyukainya
P04_S009_R02|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA|Dia anak baik sehingga banyak orang menyukainya
P05_S009_R02|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA|Dia anak baik sehingga banyak orang menyukainya
P01_S009_R03|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA|Dia anak baik sehingga banyak orang menyukainya
P02_S009_R03|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA|Dia anak baik sehingga banyak orang menyukainya
P03_S009_R03|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA|Dia anak baik sehingga banyak orang menyukainya
P04_S009_R03|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA|Dia anak baik sehingga banyak orang menyukainya
P05_S009_R03|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA|Dia anak baik sehingga banyak orang menyukainya
P01_S010_R01|DIA MENGEJEK AKU|Dia mengejek saya
P02_S010_R01|DIA MENGEJEK AKU|Dia mengejek saya
P03_S010_R01|DIA MENGEJEK AKU|Dia mengejek saya
P04_S010_R01|DIA MENGEJEK AKU|Dia mengejek saya
P05_S010_R01|DIA MENGEJEK AKU|Dia mengejek saya
P01_S010_R02|DIA MENGEJEK AKU|Dia mengejek saya
P02_S010_R02|DIA MENGEJEK AKU|Dia mengejek saya
P03_S010_R02|DIA MENGEJEK AKU|Dia mengejek saya
P04_S010_R02|DIA MENGEJEK AKU|Dia mengejek saya
P05_S010_R02|DIA MENGEJEK AKU|Dia mengejek saya
P01_S010_R03|DIA MENGEJEK AKU|Dia mengejek saya
P02_S010_R03|DIA MENGEJEK AKU|Dia mengejek saya
P03_S010_R03|DIA MENGEJEK AKU|Dia mengejek saya
P04_S010_R03|DIA MENGEJEK AKU|Dia mengejek saya
P05_S010_R03|DIA MENGEJEK AKU|Dia mengejek saya
P01_S011_R01|GAKBOLEH PULANG SEKARANG KAMU|Kamu tidak boleh pulang sekarang.
P02_S011_R01|GAKBOLEH PULANG SEKARANG KAMU|Kamu tidak boleh pulang sekarang.
P03_S011_R01|GAKBOLEH PULANG SEKARANG KAMU|Kamu tidak boleh pulang sekarang.
P04_S011_R01|GAKBOLEH PULANG SEKARANG KAMU|Kamu tidak boleh pulang sekarang.
P05_S011_R01|GAKBOLEH PULANG SEKARANG KAMU|Kamu tidak boleh pulang sekarang.
P01_S011_R02|GAKBOLEH PULANG SEKARANG KAMU|Kamu tidak boleh pulang sekarang.
P02_S011_R02|GAKBOLEH PULANG SEKARANG KAMU|Kamu tidak boleh pulang sekarang.
P03_S011_R02|GAKBOLEH PULANG SEKARANG KAMU|Kamu tidak boleh pulang sekarang.
P04_S011_R02|GAKBOLEH PULANG SEKARANG KAMU|Kamu tidak boleh pulang sekarang.
P05_S011_R02|GAKBOLEH PULANG SEKARANG KAMU|Kamu tidak boleh pulang sekarang.
P01_S011_R03|GAKBOLEH PULANG SEKARANG KAMU|Kamu tidak boleh pulang sekarang.
P02_S011_R03|GAKBOLEH PULANG SEKARANG KAMU|Kamu tidak boleh pulang sekarang.
P03_S011_R03|GAKBOLEH PULANG SEKARANG KAMU|Kamu tidak boleh pulang sekarang.
P04_S011_R03|GAKBOLEH PULANG SEKARANG KAMU|Kamu tidak boleh pulang sekarang.
P05_S011_R03|GAKBOLEH PULANG SEKARANG KAMU|Kamu tidak boleh pulang sekarang.
P01_S012_R01|IBU AKU PUNYA KUCING SAMA IKAN|Ibu aku punya kucing sama ikan.
P02_S012_R01|IBU AKU PUNYA KUCING SAMA IKAN|Ibu aku punya kucing sama ikan.
P03_S012_R01|IBU AKU PUNYA KUCING SAMA IKAN|Ibu aku punya kucing sama ikan.
P04_S012_R01|IBU AKU PUNYA KUCING SAMA IKAN|Ibu aku punya kucing sama ikan.
P05_S012_R01|IBU AKU PUNYA KUCING SAMA IKAN|Ibu aku punya kucing sama ikan.
P01_S012_R02|IBU AKU PUNYA KUCING SAMA IKAN|Ibu aku punya kucing sama ikan.
P02_S012_R02|IBU AKU PUNYA KUCING SAMA IKAN|Ibu aku punya kucing sama ikan.
P03_S012_R02|IBU AKU PUNYA KUCING SAMA IKAN|Ibu aku punya kucing sama ikan.
P04_S012_R02|IBU AKU PUNYA KUCING SAMA IKAN|Ibu aku punya kucing sama ikan.
P05_S012_R02|IBU AKU PUNYA KUCING SAMA IKAN|Ibu aku punya kucing sama ikan.
P01_S012_R03|IBU AKU PUNYA KUCING SAMA IKAN|Ibu aku punya kucing sama ikan.
P02_S012_R03|IBU AKU PUNYA KUCING SAMA IKAN|Ibu aku punya kucing sama ikan.
P03_S012_R03|IBU AKU PUNYA KUCING SAMA IKAN|Ibu aku punya kucing sama ikan.
P04_S012_R03|IBU AKU PUNYA KUCING SAMA IKAN|Ibu aku punya kucing sama ikan.
P05_S012_R03|IBU AKU PUNYA KUCING SAMA IKAN|Ibu aku punya kucing sama ikan.
P01_S013_R01|KAKAK AKU KASIH HADIAH BUAT AKU|Kakak saya memberi saya hadiah.
P02_S013_R01|KAKAK AKU KASIH HADIAH BUAT AKU|Kakak saya memberi saya hadiah.
P03_S013_R01|KAKAK AKU KASIH HADIAH BUAT AKU|Kakak saya memberi saya hadiah.
P04_S013_R01|KAKAK AKU KASIH HADIAH BUAT AKU|Kakak saya memberi saya hadiah.
P05_S013_R01|KAKAK AKU KASIH HADIAH BUAT AKU|Kakak saya memberi saya hadiah.
P01_S013_R02|KAKAK AKU KASIH HADIAH BUAT AKU|Kakak saya memberi saya hadiah.
P02_S013_R02|KAKAK AKU KASIH HADIAH BUAT AKU|Kakak saya memberi saya hadiah.
P03_S013_R02|KAKAK AKU KASIH HADIAH BUAT AKU|Kakak saya memberi saya hadiah.
P04_S013_R02|KAKAK AKU KASIH HADIAH BUAT AKU|Kakak saya memberi saya hadiah.
P05_S013_R02|KAKAK AKU KASIH HADIAH BUAT AKU|Kakak saya memberi saya hadiah.
P01_S013_R03|KAKAK AKU KASIH HADIAH BUAT AKU|Kakak saya memberi saya hadiah.
P02_S013_R03|KAKAK AKU KASIH HADIAH BUAT AKU|Kakak saya memberi saya hadiah.
P03_S013_R03|KAKAK AKU KASIH HADIAH BUAT AKU|Kakak saya memberi saya hadiah.
P04_S013_R03|KAKAK AKU KASIH HADIAH BUAT AKU|Kakak saya memberi saya hadiah.
P05_S013_R03|KAKAK AKU KASIH HADIAH BUAT AKU|Kakak saya memberi saya hadiah.
P01_S014_R01|KAMU BELAJAR BISINDO KAPAN|Kapan kamu belajar Bisindo?
P02_S014_R01|KAMU BELAJAR BISINDO KAPAN|Kapan kamu belajar Bisindo?
P03_S014_R01|KAMU BELAJAR BISINDO KAPAN|Kapan kamu belajar Bisindo?
P04_S014_R01|KAMU BELAJAR BISINDO KAPAN|Kapan kamu belajar Bisindo?
P05_S014_R01|KAMU BELAJAR BISINDO KAPAN|Kapan kamu belajar Bisindo?
P01_S014_R02|KAMU BELAJAR BISINDO KAPAN|Kapan kamu belajar Bisindo?
P02_S014_R02|KAMU BELAJAR BISINDO KAPAN|Kapan kamu belajar Bisindo?
P03_S014_R02|KAMU BELAJAR BISINDO KAPAN|Kapan kamu belajar Bisindo?
P04_S014_R02|KAMU BELAJAR BISINDO KAPAN|Kapan kamu belajar Bisindo?
P05_S014_R02|KAMU BELAJAR BISINDO KAPAN|Kapan kamu belajar Bisindo?
P01_S014_R03|KAMU BELAJAR BISINDO KAPAN|Kapan kamu belajar Bisindo?
P02_S014_R03|KAMU BELAJAR BISINDO KAPAN|Kapan kamu belajar Bisindo?
P03_S014_R03|KAMU BELAJAR BISINDO KAPAN|Kapan kamu belajar Bisindo?
P04_S014_R03|KAMU BELAJAR BISINDO KAPAN|Kapan kamu belajar Bisindo?
